trial_number,state,value,threshold,alt_layer,rep1,beta,batch_size
0,FAIL,,,,,,
1,FAIL,,7.129419402534382e-05,14.0,38.0,,
2,FAIL,,7.212310212309057e-05,1.0,38.0,0.9041874703279851,256.0
3,FAIL,,9.071596644032416e-05,8.0,40.0,0.9336985244124386,256.0
4,FAIL,,2.704685583355928e-05,9.0,40.0,0.9393930212884178,256.0
5,FAIL,,6.293340279867296e-05,1.0,31.0,0.7956893318242173,256.0
6,COMPLETE,0.9324,3.203570581534595e-05,13.0,38.0,0.8049755771989913,1024.0
7,COMPLETE,0.9362,7.918710094725434e-05,9.0,32.0,0.5350139498100971,1024.0
8,COMPLETE,0.9344,2.474706614659782e-05,9.0,33.0,0.4769341923433934,1024.0
9,COMPLETE,0.9339,4.496162928245095e-05,9.0,35.0,0.9826619194636446,1024.0
10,FAIL,,9.839288634623652e-06,15.0,38.0,0.49054296206179826,256.0
11,COMPLETE,0.9342,9.019572830537216e-05,9.0,28.0,0.709913168653538,1024.0
12,FAIL,,7.877609912483896e-05,3.0,36.0,0.5146888415701779,256.0
13,COMPLETE,0.9343,9.514141634047993e-05,16.0,31.0,0.41424995250798385,1024.0
14,COMPLETE,0.9333,9.743581206941676e-05,13.0,38.0,0.8761801885567612,1024.0
15,FAIL,,6.3598292495881e-05,7.0,40.0,0.7221683603031466,512.0
16,FAIL,,6.263860475766789e-05,1.0,32.0,0.8143542293478223,512.0
17,COMPLETE,0.933,6.495910317814085e-06,8.0,32.0,0.8128974856559652,1024.0
18,FAIL,,9.15908288718304e-05,12.0,30.0,0.6004971832951339,512.0
19,COMPLETE,0.9347,5.9508250050702434e-05,6.0,30.0,0.48776575909212105,1024.0
20,FAIL,,2.1293958493913387e-05,4.0,36.0,0.5390479424640918,512.0
21,FAIL,,7.729727049222176e-05,2.0,30.0,0.8976748435718114,256.0
22,COMPLETE,0.9339,6.610316482954666e-05,2.0,30.0,0.8851412560056815,1024.0
23,FAIL,,7.312824367073159e-05,1.0,35.0,0.6007827248998738,256.0
24,FAIL,,7.501871942799379e-05,1.0,35.0,0.6055130441689045,256.0
25,FAIL,,7.416493054304697e-05,1.0,35.0,0.5868621373876961,512.0
26,FAIL,,7.26501276344362e-05,1.0,35.0,0.6135974877283029,512.0
27,FAIL,,7.49022794424796e-05,3.0,35.0,0.5916983659865354,512.0
28,FAIL,,7.429192451589531e-05,3.0,35.0,0.5924495056540945,256.0
29,FAIL,,7.398917255695503e-05,1.0,35.0,0.6056185525817577,256.0
30,FAIL,,7.470495414520261e-05,1.0,36.0,0.5984967858008017,256.0
31,FAIL,,7.47133231995416e-05,1.0,35.0,0.6170757950985708,256.0
32,FAIL,,7.554117445119241e-05,1.0,35.0,0.6006959423147213,256.0
33,FAIL,,7.562867515966883e-05,1.0,36.0,0.6004002797301361,256.0
34,FAIL,,7.599387315882557e-05,4.0,35.0,0.5868942654992172,256.0
35,FAIL,,7.732375570847908e-05,4.0,35.0,0.6135240973911231,256.0
36,FAIL,,7.312709626981484e-05,3.0,35.0,0.5921926299309527,512.0
37,COMPLETE,0.9305,6.5511871935495e-05,1.0,35.0,0.6215891839896176,512.0
38,FAIL,,7.494366988868837e-05,3.0,35.0,0.61417553010245,256.0
39,FAIL,,7.610559159571257e-05,3.0,35.0,0.6000091128995597,512.0
40,FAIL,,7.090606921709771e-05,5.0,28.0,0.550566637401875,256.0
41,FAIL,,7.306746889976511e-05,5.0,28.0,0.5747965188196963,256.0
42,FAIL,,7.357088155308868e-05,5.0,28.0,0.552908284038955,256.0
43,FAIL,,7.292706602098195e-05,5.0,28.0,0.555312626318525,256.0
44,FAIL,,7.263520605439478e-05,5.0,28.0,0.5609786655081472,256.0
45,FAIL,,7.146375391801323e-05,5.0,28.0,0.5498076581162066,256.0
46,FAIL,,7.149605329911062e-05,5.0,29.0,0.5372964164894671,256.0
47,FAIL,,7.164795213008079e-05,5.0,29.0,0.5583349113855453,256.0
48,FAIL,,6.999450131385608e-05,5.0,28.0,0.5525255371165175,256.0
49,FAIL,,7.250123404399571e-05,5.0,28.0,0.5535470344076789,256.0
50,FAIL,,7.331919682152165e-05,5.0,28.0,0.5554669777897633,256.0
51,FAIL,,7.159355452475717e-05,6.0,30.0,0.5725291179207384,256.0
52,FAIL,,7.052282016331407e-05,5.0,28.0,0.5497696538641895,256.0
53,FAIL,,6.912217516478821e-05,5.0,28.0,0.5557089729974048,256.0
54,FAIL,,7.45377049068263e-05,5.0,28.0,0.55997680583284,256.0
55,FAIL,,7.324468577539916e-05,5.0,28.0,0.5512719046187291,256.0
56,FAIL,,7.010087551635245e-05,5.0,28.0,0.5563341708066667,256.0
57,FAIL,,7.169789985250997e-05,5.0,28.0,0.5593234067583348,256.0
58,FAIL,,6.967697938424321e-05,5.0,28.0,0.5553192257672372,256.0
59,FAIL,,7.290598825934809e-05,5.0,28.0,0.548644541603,256.0
60,FAIL,,7.09895858947196e-05,6.0,28.0,0.544232868797607,256.0
61,FAIL,,6.827926314585918e-05,5.0,28.0,0.5466672255498731,256.0
62,FAIL,,7.202841104261684e-05,5.0,28.0,0.5511949326228724,256.0
63,FAIL,,7.17072427397794e-05,5.0,28.0,0.5527575958146264,256.0
64,FAIL,,7.259426112576849e-05,5.0,28.0,0.5442439857793306,256.0
65,FAIL,,7.036363432231192e-05,4.0,28.0,0.5420324753305289,256.0
